window_id,experiment_id,condition,RMS,Peak,Std,Kurtosis,Dominant_Frequency,Spectral_Energy
111,normal_04,normal,0.16616074701660474,0.44929748694090216,0.09097576905207488,2.9315318122672234,149.75523669094463,0.3347173891992241
420,misalignment_04,misalignment,0.4861870007205695,0.9413484349080036,0.23032948677747206,6.174397607107085,180.77620037139712,0.8788526840269542
566,loose_mount_04,loose_mount,0.27242041555487695,0.5791375323213355,0.13408642316658825,5.676454139616773,135.50271927175768,0.7280873469931436
78,normal_03,normal,0.16820865013382064,0.3670806625603483,0.08882615887010392,2.9082649430121332,149.12042524005372,0.5168615581214758
182,imbalance_02,imbalance,0.324075613608046,0.6965099837982334,0.19306489766562454,4.70315496847,148.61564440137533,0.7806804501378524
285,imbalance_05,imbalance,0.3894730446715211,0.9722325969819334,0.17093123403262814,4.890932749881928,155.0996867725016,0.7668837199978403
11,normal_01,normal,0.1663426045676839,0.436604598800569,0.10162753065105005,3.1172444662718557,152.13367973937858,0.45966736175999623
470,loose_mount_01,loose_mount,0.31025224711317295,0.6625321103358595,0.12075085230291693,6.589934806261389,136.51723300289328,0.7474539448018136
79,normal_03,normal,0.222119867398146,0.4115163553463349,0.10347708452450957,2.918584352729935,149.14690848587972,0.4292662824707691
350,misalignment_02,misalignment,0.484729626647885,1.0784688716131687,0.2561246831109992,5.278189347910074,168.95927976564627,1.2043492856014555
56,normal_02,normal,0.23022456866553445,0.47550135243590785,0.09301069571421254,2.7972565267119203,150.09834627862878,0.35917199253094356
119,normal_04,normal,0.195569277685384,0.47589938762837897,0.09986353208204704,3.1403327296179135,146.89476565787808,0.4193957674605866
110,normal_04,normal,0.21174518333605585,0.4627760105516492,0.09130952752135219,3.035479222927388,153.6375565104948,0.4038104147856699
589,loose_mount_05,loose_mount,0.25608759684530563,0.692148526992259,0.18122373066352965,6.106620932597824,139.8419973204241,0.7081544616654927
